entity_id,name,canonical,entity_type,context,source,source_url
ENT_B0EAF3,Citrus greening disease,citrus greening disease,Disease,Citrus greening disease (Chinese: 黃龍病; pinyin: huánglóngbìng abbr. HLB) is a disease of citrus trees caused by bacteria of the genus Liberibacter. These microbes are transmitted by two species of bug: the Asian citrus psyllid Diaphorina citri and the African citrus psyllid Trioza erytreae. It has no,wikipedia,https://en.wikipedia.org/wiki/Citrus_greening_disease
ENT_C61501,Clubroot,clubroot,Disease,"Clubroot is a common disease of cabbages, canola, broccoli, cauliflower, Brussels sprouts, radishes, turnips, stocks, wallflowers and other plants of the family Brassicaceae (Cruciferae). It is caused by Plasmodiophora brassicae, which was once considered a slime mold but is now a protist in the cla",wikipedia,https://en.wikipedia.org/wiki/Clubroot
ENT_714714,Soybean mosaic virus,soybean mosaic virus,Disease,Soybean mosaic virus (SMV) is a member of the plant virus genus Potyvirus (family Potyviridae). It infects mainly plants belonging to the family Fabaceae but has also been found infecting other economically important crops. SMV is the cause of soybean mosaic disease that occurs in all the soybean pr,wikipedia,https://en.wikipedia.org/wiki/Soybean_mosaic_virus
ENT_E4CA4F,Panama disease,panama disease,Disease,"Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures. During the 1950s, an outbreak of",wikipedia,https://en.wikipedia.org/wiki/Panama_disease
ENT_52C632,''Erwinia amylovora,erwinia amylovora,Disease,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season. The causal pathogen is Erw",wikipedia,https://en.wikipedia.org/wiki/Fire_blight
ENT_08F010,Potato virus Y,potato virus y,Disease,"Potato virus Y (PVY) is a plant virus of the family Potyviridae, and one of the most important plant viruses affecting potato production. PVY infection of potato plants results in a variety of symptoms depending on the viral strain. The mildest of these symptoms is production loss, but the most detr",wikipedia,https://en.wikipedia.org/wiki/Potato_virus_Y
ENT_4F44C2,Potato virus Y (PVY),potato virus y (pvy,Disease,"Potato virus Y (PVY) is a plant virus of the family Potyviridae, and one of the most important plant viruses affecting potato production. PVY infection of potato plants results in a variety of symptoms depending on the viral strain. The mildest of these symptoms is production loss, but the most detr",wikipedia,https://en.wikipedia.org/wiki/Potato_virus_Y
ENT_5871F1,Fusarium wilt,fusarium wilt,Disease,"Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures. During the 1950s, an outbreak of",wikipedia,https://en.wikipedia.org/wiki/Panama_disease
ENT_1A8D7A,fireblight,fireblight,Disease,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season. The causal pathogen is Erw",wikipedia,https://en.wikipedia.org/wiki/Fire_blight
ENT_175A34,Verticillium wilt,verticillium wilt,Disease,"Verticillium wilt is a wilt disease affecting over 350 species of eudicot plants. It is caused by six species of Verticillium fungi: V. dahliae, V. albo-atrum, V. longisporum, V. nubilum, V. theobromae and V. tricorpus. Many economically important plants are susceptible including cotton, tomatoes, p",wikipedia,https://en.wikipedia.org/wiki/Verticillium_wilt
ENT_0AE8E8,Downy mildew,downy mildew,Disease,"Downy mildew refers to any of several types of oomycete microbes that are obligate parasites of plants. Downy mildews exclusively belong to the Peronosporaceae family. In commercial agriculture, they are a particular problem for growers of crucifers, grapes and vegetables that grow on vines. The pri",wikipedia,https://en.wikipedia.org/wiki/Downy_mildew
ENT_D20FB1,huánglóngbìng,huanglongbing,Disease,Citrus greening disease (Chinese: 黃龍病; pinyin: huánglóngbìng abbr. HLB) is a disease of citrus trees caused by bacteria of the genus Liberibacter. These microbes are transmitted by two species of bug: the Asian citrus psyllid Diaphorina citri and the African citrus psyllid Trioza erytreae. It has no,wikipedia,https://en.wikipedia.org/wiki/Citrus_greening_disease
ENT_A9B674,HLB,hlb,Disease,Citrus greening disease (Chinese: 黃龍病; pinyin: huánglóngbìng abbr. HLB) is a disease of citrus trees caused by bacteria of the genus Liberibacter. These microbes are transmitted by two species of bug: the Asian citrus psyllid Diaphorina citri and the African citrus psyllid Trioza erytreae. It has no,wikipedia,https://en.wikipedia.org/wiki/Citrus_greening_disease
ENT_395B76,cereal rust,cereal rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_01A610,maize streak disease,maize streak disease,Disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",wikipedia,https://en.wikipedia.org/wiki/Maize_streak_virus
ENT_6551F7,MSD,msd,Disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",wikipedia,https://en.wikipedia.org/wiki/Maize_streak_virus
ENT_5AAB83,Maize streak virus,maize streak virus,Disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",wikipedia,https://en.wikipedia.org/wiki/Maize_streak_virus
ENT_0ECBFF,Maize streak virus (MSV),maize streak virus (msv,Disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",wikipedia,https://en.wikipedia.org/wiki/Maize_streak_virus
