name,canonical_id,context,source_url
red rust,stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",https://en.wikipedia.org/wiki/Stem_rust
black rust,stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",https://en.wikipedia.org/wiki/Stem_rust
stem rust,stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",https://en.wikipedia.org/wiki/Stem_rust
turcicum leaf blight,northern_corn_leaf_blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr",https://en.wikipedia.org/wiki/Northern_corn_leaf_blight
northern corn leaf blight,northern_corn_leaf_blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr",https://en.wikipedia.org/wiki/Northern_corn_leaf_blight
puccinia graminis,stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",https://en.wikipedia.org/wiki/Stem_rust
red dust,stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",https://en.wikipedia.org/wiki/Stem_rust
corn smut,corn_smut,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte. The infected corn is edible; in Mexico, it is consi",https://en.wikipedia.org/wiki/Corn_smut
mycosarcoma maydis,corn_smut,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte. The infected corn is edible; in Mexico, it is consi",https://en.wikipedia.org/wiki/Corn_smut
fire blight,fire_blight,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season. The causal pathogen is Erw",https://en.wikipedia.org/wiki/Fire_blight
apple scab,apple_scab,"Apple scab is a common disease of plants in the rose family (Rosaceae) that is caused by the ascomycete fungus Venturia inaequalis. While this disease affects several plant genera, including Sorbus, Cotoneaster, and Pyrus, it is most commonly associated with the infection of Malus trees, including s",https://en.wikipedia.org/wiki/Apple_scab
maize streak virus,maize_streak_virus,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",https://en.wikipedia.org/wiki/Maize_streak_virus
